dataset,prompt_index,strategy,fixed_g,output_tokens,wall_ms,cuda_ms,rounds,accepted_tokens,verified_tokens,proposed_tokens,draft_generated_tokens,mean_uploaded_g,mean_generated_g,acceptance_rate,tpot_wall_ms,tpot_cuda_ms,speedup_vs_target_wall,speedup_vs_target_cuda,latency_reduction_wall,latency_reduction_cuda
gsm8k,980,target_only,,16,216.9901840388775,216.92092895507812,16,0,0,0,0,0.0,0.0,0.0,13.561886502429843,13.557558059692383,,,,
gsm8k,980,fixed_g2,2,16,442.2224275767803,442.18267822265625,8,8,13,16,16,2.0,2.0,0.6153846153846154,27.63890172354877,27.636417388916016,0.49068109283354433,0.4905685809018732,-1.0379835591897035,-1.0384509708338343
gsm8k,980,fixed_g4,4,18,502.4263523519039,502.3858947753906,8,10,17,32,32,4.0,4.0,0.5882352941176471,27.912575130661327,27.910327487521702,0.48587012982304234,0.4857541734597621,-1.058163156406029,-1.0586544689416568
gsm8k,980,fixed_g8,8,18,746.6102726757526,746.5689086914062,8,10,18,64,64,8.0,8.0,0.5555555555555556,41.47834848198626,41.476050482855904,0.3269630300810957,0.3268767855631864,-2.0584497573073413,-2.059256711292814
gsm8k,980,adaptive_entropy,,18,505.7285279035568,505.6936950683594,10,8,12,14,24,1.4,2.4,0.6666666666666666,28.09602932797538,28.09409417046441,0.4826976205113152,0.48257679985801333,-1.0716903450667794,-1.0722090251628882
gsm8k,657,target_only,,16,216.86702594161034,216.83990478515625,16,0,0,0,0,0.0,0.0,0.0,13.554189121350646,13.552494049072266,,,,
gsm8k,657,fixed_g2,2,17,386.0367201268673,386.00531005859375,8,9,13,16,16,2.0,2.0,0.6923076923076923,22.708042360403958,22.706194709329043,0.5968893710091497,0.5968632887440228,-0.6753523325592456,-0.6754255436019463
gsm8k,657,fixed_g4,4,18,375.8072070777416,375.76177978515625,6,12,15,24,24,4.0,4.0,0.8,20.878178170985645,20.875654432508682,0.6492036331113828,0.6492009193238799,-0.5403487426701317,-0.5403551816307732
gsm8k,657,fixed_g8,8,17,461.91728115081787,461.8849182128906,5,12,16,40,40,8.0,8.0,0.75,27.17160477357752,27.16970107134651,0.49883653300195,0.4988090967023884,-1.0046647224935525,-1.0047749862842705
gsm8k,657,adaptive_entropy,,16,486.14057525992393,486.10760498046875,10,6,10,12,22,1.2,2.2,0.6,30.383785953745246,30.381725311279297,0.4460994144042768,0.44607387862995607,-1.2416527969116582,-1.2417811217086698
gsm8k,1009,target_only,,16,217.01501309871674,216.9886016845703,16,0,0,0,0,0.0,0.0,0.0,13.563438318669796,13.561787605285645,,,,
gsm8k,1009,fixed_g2,2,16,436.0491968691349,436.0137939453125,9,7,13,18,18,2.0,2.0,0.5384615384615384,27.25307480432093,27.25086212158203,0.4976846985544301,0.4976645342366997,-1.0093042902556375,-1.0093857030293805
gsm8k,1009,fixed_g4,4,16,503.1493417918682,503.1166687011719,8,8,15,32,32,4.0,4.0,0.5333333333333333,31.446833861991763,31.444791793823242,0.43131332006886886,0.43128883454555456,-1.3185001563140402,-1.318631784320806
gsm8k,1009,fixed_g8,8,16,647.9567475616932,647.9182739257812,7,9,16,56,56,8.0,8.0,0.5625,40.497296722605824,40.49489212036133,0.3349220668128845,0.3349011911175487,-1.9857692254081418,-1.9859553400304417
gsm8k,1009,adaptive_entropy,,16,527.5544598698616,527.5180053710938,11,5,11,12,23,1.0909090909090908,2.090909090909091,0.45454545454545453,32.97215374186635,32.96987533569336,0.41136039898563365,0.41133875900960964,-1.4309583578435898,-1.4310862472763914
mbpp,317,target_only,,16,215.17428383231163,215.14700317382812,16,0,0,0,0,0.0,0.0,0.0,13.448392739519477,13.446687698364258,,,,
mbpp,317,fixed_g2,2,17,481.6577471792698,481.6224670410156,10,7,14,20,20,2.0,2.0,0.5,28.332808657604104,28.33073335535386,0.47465794521257704,0.47463253173512154,-1.1067802826984114,-1.1068930870462763
mbpp,317,fixed_g4,4,17,498.3464181423187,498.3130798339844,8,9,16,32,32,4.0,4.0,0.5625,29.31449518484228,29.312534107881433,0.4587625560229081,0.45873508066123725,-1.1797768516009084,-1.1799074065985184
mbpp,317,fixed_g8,8,17,737.9339970648289,737.8946533203125,8,9,17,64,64,8.0,8.0,0.5294117647058824,43.40788218028405,43.405567842371326,0.30981453284601307,0.30979177019861426,-2.2277375461177265,-2.227974711396879
mbpp,317,adaptive_entropy,,16,525.3770016133785,525.3416137695312,11,5,11,12,23,1.0909090909090908,2.090909090909091,0.45454545454545453,32.83606260083616,32.8338508605957,0.4095616731823693,0.4095373325369455,-1.4416347170129877,-1.441779834344619
mbpp,400,target_only,,16,215.1452749967575,215.1168670654297,16,0,0,0,0,0.0,0.0,0.0,13.446579687297344,13.444804191589355,,,,
mbpp,400,fixed_g2,2,18,334.18409526348114,334.1546325683594,7,11,13,14,14,2.0,2.0,0.8461538461538461,18.565783070193397,18.564146253797745,0.7242667673352963,0.7242349854272936,-0.38070673003425837,-0.38076732016751036
mbpp,400,fixed_g4,4,17,374.15869161486626,374.12860107421875,6,11,15,24,24,4.0,4.0,0.7333333333333333,22.009334800874484,22.007564769071692,0.6109489363923475,0.6109173973889195,-0.6367980046008404,-0.6368825053502027
mbpp,400,fixed_g8,8,21,461.5320414304733,461.4989929199219,5,16,20,40,40,8.0,8.0,0.8,21.97771625859397,21.97614251999628,0.6118278864410817,0.611790908224945,-0.6344465856515007,-0.6345453758072475
mbpp,400,adaptive_entropy,,16,434.20516327023506,434.1724548339844,9,7,9,10,19,1.1111111111111112,2.111111111111111,0.7777777777777778,27.13782270438969,27.135778427124023,0.49549220782263736,0.49546410572657,-1.0181952091524158,-1.018309678626581
mbpp,432,target_only,,16,215.0314301252365,215.0043182373047,16,0,0,0,0,0.0,0.0,0.0,13.439464382827282,13.437769889831543,,,,
mbpp,432,fixed_g2,2,17,432.5614795088768,432.5289611816406,9,8,14,18,18,2.0,2.0,0.5714285714285714,25.44479291228687,25.442880069508274,0.5281813229589142,0.528154432718326,-0.8932892106027523,-0.8933856047617754
mbpp,432,fixed_g4,4,17,499.5764382183552,499.5416564941406,8,9,16,32,32,4.0,4.0,0.5625,29.38684930696207,29.38480332318474,0.4573292033604747,0.45730338032343004,-1.1866086675680383,-1.1867321411285987
mbpp,432,fixed_g8,8,17,650.4532881081104,650.41650390625,7,10,17,56,56,8.0,8.0,0.5882352941176471,38.2619581240065,38.25979434742647,0.3512487348208933,0.351224310507446,-1.8469853436195698,-1.8471833243980411
mbpp,432,adaptive_entropy,,17,469.65939179062843,469.6258544921875,10,7,10,10,20,1.0,2.0,0.7,27.627023046507556,27.625050264246322,0.48646082352786174,0.48643422405726283,-1.0556639951967801,-1.0557764041748028
wikitext,764,target_only,,16,225.61300545930862,225.5836181640625,16,0,0,0,0,0.0,0.0,0.0,14.100812841206789,14.098976135253906,,,,
wikitext,764,fixed_g2,2,18,343.3820568025112,343.3388671875,7,11,13,14,14,2.0,2.0,0.8461538461538461,19.076780933472847,19.074381510416668,0.7391610193764382,0.7391577088648639,-0.35288519522256134,-0.35289125447357605
wikitext,764,fixed_g4,4,16,315.7344199717045,315.70318603515625,5,11,14,20,20,4.0,4.0,0.7857142857142857,19.73340124823153,19.731449127197266,0.7145657590310478,0.7145433690331584,-0.39945132741317124,-0.3994951787924226
wikitext,764,fixed_g8,8,20,471.1749106645584,471.13580322265625,5,15,19,40,40,8.0,8.0,0.7894736842105263,23.55874553322792,23.556790161132813,0.5985383568627881,0.5985100702945645,-0.6707367013894565,-0.670815663148052
wikitext,764,adaptive_entropy,,16,480.3374223411083,480.2996520996094,9,7,9,16,24,1.7777777777777777,2.6666666666666665,0.7777777777777778,30.02108889631927,30.018728256225586,0.4696969150554568,0.4696726661739882,-1.129032505742412,-1.1291424262478889
wikitext,1409,target_only,,16,219.23146396875381,219.2019805908203,16,0,0,0,0,0.0,0.0,0.0,13.701966498047113,13.70012378692627,,,,
wikitext,1409,fixed_g2,2,18,389.98788967728615,389.9569091796875,8,10,14,16,16,2.0,2.0,0.7142857142857143,21.665993870960342,21.66427273220486,0.6324180916718674,0.6323832771252207,-0.5812324365300638,-0.581319487994598
wikitext,1409,fixed_g4,4,20,441.1926530301571,441.1605224609375,7,13,18,28,28,4.0,4.0,0.7222222222222222,22.059632651507854,22.058026123046876,0.621133031293272,0.6210947303490577,-0.6099610705260392,-0.6100603517244398
wikitext,1409,fixed_g8,8,24,560.1305142045021,560.0950927734375,6,18,23,48,48,8.0,8.0,0.782608695652174,23.338771425187588,23.337295532226562,0.5870903077297258,0.5870484764615383,-0.7033154641353101,-0.7034368371544815
wikitext,1409,adaptive_entropy,,17,523.0730138719082,523.0388793945312,11,6,11,11,22,1.0,2.0,0.5454545454545454,30.7690008159946,30.766992905560663,0.4453172392560906,0.445286409009123,-1.245590136304886,-1.245745613986418
wikitext,787,target_only,,16,222.46019914746284,222.42965698242188,16,0,0,0,0,0.0,0.0,0.0,13.903762446716428,13.901853561401367,,,,
wikitext,787,fixed_g2,2,17,360.5211302638054,360.49053955078125,7,10,12,14,14,2.0,2.0,0.8333333333333334,21.20712530963561,21.205325855928308,0.6556174985394722,0.6555831141597321,-0.5252796062150771,-0.5253596049094564
wikitext,787,fixed_g4,4,17,392.36200228333473,392.3302001953125,6,11,16,24,24,4.0,4.0,0.6875,23.080117781372632,23.0782470703125,0.6024129763296874,0.6023790940033958,-0.6599908024768744,-0.660084172832138
wikitext,787,fixed_g8,8,17,479.65624183416367,479.621826171875,5,12,17,40,40,8.0,8.0,0.7058823529411765,28.21507304906845,28.213048598345587,0.4927778291602004,0.49274552918101067,-1.029312077014941,-1.02944510052094
wikitext,787,adaptive_entropy,,17,415.8484600484371,415.8167419433594,7,10,12,17,23,2.4285714285714284,3.2857142857142856,0.8333333333333334,24.4616741204963,24.459808349609375,0.5683896522465134,0.5683549667560409,-0.7593564486045483,-0.759463818373276
