context_len,entropy_bin,n,entropy_mean,entropy_min,entropy_max,greedy_accept_top1_rate,greedy_accept_top2_rate,greedy_top2_gain_mean,seq_accept_top1_mean,seq_accept_top2_mean,seq_top2_gain_mean,seq_minus_greedy_top2,target_mass_on_draft_top2_mean,draft_top2_mass_mean,target_entropy_mean,seq_relative_gain_over_greedy_top2
64,0,2500,0.5644826404830208,0.0002565524773672223,1.266968011856079,0.8712,0.924,0.0528,0.8682899621952158,0.9393939845844863,0.07110402217032231,0.015393984584486264,0.9078523022476637,0.9434385853290558,0.19314721491866313,0.016660156476716734
64,1,2500,1.8372835458278656,1.2671780586242676,2.23563814163208,0.5436,0.668,0.1244,0.5714575756465596,0.8033991960156993,0.23194162024804638,0.13539919601569927,0.6380798111671325,0.7151343841910363,0.6452495331726077,0.20269340720913065
64,2,2500,2.532690439987183,2.2358338832855225,2.8026397228240967,0.4024,0.5324,0.13,0.46674151124802504,0.6870461688629186,0.2203046573841686,0.1546461688629186,0.4816903098696352,0.5408119525790215,0.8829728647917902,0.29046988892358866
64,3,2500,3.017917029762268,2.80292010307312,3.2101352214813232,0.3276,0.4628,0.1352,0.4354392541774951,0.6679595360876706,0.23252028194683422,0.20515953608767057,0.4198504141525583,0.42620145329236986,1.0903866182904167,0.44330063977456907
64,4,2500,3.3870912578582764,3.2105236053466797,3.5548839569091797,0.2824,0.4104,0.128,0.4175076730946458,0.6264753311274772,0.20896765796834857,0.21607533112747723,0.38016342191356994,0.3566369681417942,1.0719488104164652,0.5264993448525274
64,5,2500,3.761020616722107,3.5549228191375732,3.9991962909698486,0.284,0.4064,0.1224,0.4055456523519295,0.5946799069368582,0.18913425477307064,0.18827990693685825,0.371142534822963,0.34554991665780543,0.9955185794894975,0.463287172580852
64,6,2500,4.311001650238037,3.999533176422119,4.640768051147461,0.2948,0.4052,0.1104,0.4123366090349157,0.5731211413750021,0.16078453233703938,0.16792114137500214,0.3642575278331226,0.331094640737772,1.0180475879036597,0.41441545255429946
64,7,2500,4.967681985282898,4.640768051147461,5.30225944519043,0.222,0.3336,0.1116,0.33816132858110115,0.5023434005772943,0.16418207182101174,0.1687434005772943,0.2931095007288118,0.25656369842290877,1.1256622150083713,0.5058255412988438
64,8,2500,5.642159586715699,5.30225944519043,5.995967864990234,0.1668,0.2348,0.068,0.2784099212475504,0.3953061451132136,0.11689622387317654,0.1605061451132136,0.2010296866193075,0.17758933150917292,1.2482327579862305,0.6835866486934139
64,9,2500,6.525109539604187,5.996365070343018,7.961248874664307,0.0864,0.1284,0.042,0.1910392908119769,0.2834475787423675,0.0924082877504942,0.1550475787423675,0.11257589028855744,0.10448036916702985,1.3923723044704812,1.207535659987286
128,0,2500,0.43095660248720086,0.0005204987828619778,0.8979360461235046,0.8992,0.9268,0.0276,0.8971592642622449,0.9299084731379291,0.03274920892931393,0.0031084731379291686,0.917400227812377,0.9610484258651734,0.11024835391077648,0.003353984827286544
128,1,2500,1.2379037344694137,0.8985457420349121,1.550952434539795,0.6904,0.7492,0.0588,0.6978522978503627,0.7615738688664908,0.06372157126245921,0.012373868866490834,0.7398009100598262,0.8642003495693207,0.1316062648319941,0.016516109004926366
128,2,2500,1.8052333589553833,1.5512669086456299,2.1170670986175537,0.758,0.8332,0.0752,0.7771998215874867,0.8657427349045651,0.08854291313648023,0.03254273490456505,0.8151546016359524,0.7603308391928673,0.25758620699279855,0.039057531090452534
128,3,2500,2.5638107510566712,2.1171457767486572,2.979297161102295,0.4988,0.6452,0.1464,0.5637490836280709,0.7296009645166566,0.1658518804140404,0.08440096451665657,0.6051938656984648,0.6013430209100247,0.5930561795574765,0.13081364618204677
128,4,2500,3.3300894629478455,2.9796009063720703,3.6669654846191406,0.3908,0.5284,0.1376,0.46728690649113896,0.6440205361337437,0.1767336298118669,0.11562053613374368,0.48534644194432175,0.47957982133626936,0.7702545963066137,0.21881252107067314
128,5,2500,3.9642976829528807,3.6669654846191406,4.259047031402588,0.3004,0.4236,0.1232,0.3963448361754678,0.5588285082523623,0.1624836720071986,0.13522850825236232,0.38345214707694664,0.38307637149989604,0.8470340594730714,0.3192363273190801
128,6,2500,4.568730705451966,4.260368347167969,4.876558780670166,0.2644,0.3708,0.1064,0.3560788653789703,0.5025528934943726,0.14647402801733952,0.13175289349437258,0.3190999506140349,0.31216931989490987,0.9686156994441517,0.3553206404918354
128,7,2500,5.166879384422303,4.876558780670166,5.475945472717285,0.1508,0.2252,0.0744,0.24122173316230539,0.36181810906100365,0.12059637581550367,0.13661810906100363,0.19908068778939358,0.2543085853993893,0.9750040718025826,0.606652349293977
128,8,2500,5.860268061447144,5.476597309112549,6.284107208251953,0.1356,0.1976,0.062,0.23596165682989034,0.3567941894499153,0.12083253265991971,0.1591941894499153,0.17293218431080185,0.16066013587415218,1.271935510424414,0.8056386105764946
128,9,2500,6.723629409217835,6.2841715812683105,8.234498977661133,0.0656,0.0932,0.0276,0.12540373589266543,0.18813798449769203,0.06273424858073257,0.09493798449769203,0.08322274106895425,0.09768866927698254,1.854218724040547,1.0186479023357513
256,0,2500,0.26771726961499154,1.9101078578387387e-05,0.6314368844032288,0.9268,0.954,0.0272,0.9242556275858719,0.958541261112851,0.03428563357617487,0.004541261112851025,0.9481910571417822,0.977475874376297,0.08036164400949909,0.004760231774476965
256,1,2500,1.0286459515810014,0.6314857602119446,1.4308627843856812,0.7576,0.8276,0.07,0.7590160707086437,0.8535871676961831,0.09457109707763543,0.025987167696183144,0.8130886766161468,0.8875945738792419,0.2357743285021652,0.031400637622260925
256,2,2500,1.8240876836299895,1.4308627843856812,2.1839447021484375,0.5696,0.7204,0.1508,0.598445424845791,0.7641508318146454,0.16570540703233588,0.04375083181464534,0.6969593834060297,0.7374513841271401,0.36098796261736354,0.06073130457335555
256,3,2500,2.5690758732795715,2.1839842796325684,2.937922477722168,0.484,0.6208,0.1368,0.5322638132938391,0.7059647071433799,0.17370089383176515,0.08516470714337987,0.5844156874498994,0.597234607219696,0.5492301625137197,0.13718541743456808
256,4,2500,3.2669738304138183,2.9382176399230957,3.588618755340576,0.376,0.5128,0.1368,0.461223646680148,0.6491830905097183,0.18795944380223745,0.1363830905097183,0.4722262265958664,0.4767422308087349,0.8105155779213724,0.2659576648005427
256,5,2500,3.8900993162155153,3.5889649391174316,4.202292442321777,0.3284,0.4532,0.1248,0.420491991478036,0.5874500231593909,0.16695803181909008,0.13425002315939089,0.4090319661678961,0.3907975258588791,0.8930154024329251,0.29622688252292784
256,6,2500,4.512160075759888,4.202575206756592,4.831917762756348,0.2572,0.3804,0.1232,0.36216400264454796,0.5328055462133616,0.17064154363269346,0.1524055462133616,0.3272455333421958,0.31515422114431857,1.062220988394319,0.4006454947775016
256,7,2500,5.153443208694458,4.832098484039307,5.485746383666992,0.2092,0.3044,0.0952,0.3189760127835653,0.46073620282102923,0.14176019017498928,0.15633620282102922,0.260437589544197,0.23086951535344125,1.1956273863662368,0.5135880513174416
256,8,2500,5.863831931114197,5.485761642456055,6.25639533996582,0.1436,0.2072,0.0636,0.24621999905393335,0.3661534590182952,0.119933459937008,0.15895345901829522,0.18422325000660034,0.1595029789507389,1.253252137267693,0.7671498987369461
256,9,2500,6.815901698303223,6.256399154663086,8.53474235534668,0.058,0.0972,0.0392,0.1491461640370078,0.24375195814276412,0.09460579398671107,0.14655195814276412,0.08458559141027457,0.08198173458948732,1.6525858088309295,1.5077361948844046
